,SCORE: total_score,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,delta_unsatHbonds,hbond_E_fraction,hbonds_int,nres_all,nres_int,packstat,per_residue_energy_int,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,description,src,Phosphopeptide,norm_MFI
1,SCORE:       0.000,-0.265,-34.594,-1.827,-34.594,-1.827,1089.574,1893.695,804.121,27,0.162,8,511,85,0,-0.925,0.687,-0.945,-71.841,-0.75,-6.749,sep_top_10_0001,pT4_score.sc,pT4,0.946697709
2,SCORE:       0.000,-0.319,-33.881,-1.761,-33.881,-1.761,1105.608,1924.039,818.431,17,0.1,5,511,82,0,-1.103,0.673,-1.134,-82.803,-0.853,-7.678,sep_top_2_0001,pT4_score.sc,pT4,0.946697709
3,SCORE:       0.000,-0.318,-39.264,-2.111,-39.264,-2.111,1047.479,1859.749,812.27,15,0.206,8,511,81,0,-0.958,0.631,-0.932,-67.12,-1.168,-10.516,sep_top_3_0001,pT4_score.sc,pT4,0.946697709
4,SCORE:       0.000,-0.297,-36.91,-1.936,-36.91,-1.936,1117.402,1906.948,789.547,27,0.186,7,511,86,0,-0.95,0.704,-0.949,-73.084,-0.954,-8.587,sep_top_4_0001,pT4_score.sc,pT4,0.946697709
5,SCORE:       0.000,-0.296,-40.97,-2.054,-40.97,-2.054,1144.747,1994.761,850.015,25,0.164,9,511,84,0,-1.129,0.655,-1.112,-83.365,-1.275,-11.473,sep_top_5_0001,pT4_score.sc,pT4,0.946697709
6,SCORE:       0.000,-0.296,-31.989,-1.667,-31.989,-1.667,1126.425,1918.57,792.145,19,0.29,8,511,82,0,-0.953,0.741,-1.057,-77.163,-0.107,-0.965,sep_top_6_0001,pT4_score.sc,pT4,0.946697709
7,SCORE:       0.000,-0.278,-48.927,-2.683,-48.927,-2.683,1108.73,1823.855,715.125,20,0.194,9,511,89,0,-0.979,0.698,-0.886,-70.849,-1.813,-16.32,sep_top_7_0001,pT4_score.sc,pT4,0.946697709
8,SCORE:       0.000,-0.285,-42.612,-2.152,-42.612,-2.152,1165.545,1980.569,815.024,17,0.182,10,511,87,0,-0.933,0.726,-0.919,-71.714,-1.051,-9.46,sep_top_8_0001,pT4_score.sc,pT4,0.946697709
9,SCORE:       0.000,-0.275,-35.985,-1.903,-35.985,-1.903,1098.424,1890.964,792.54,20,0.153,8,511,83,0,-0.981,0.618,-0.993,-73.46,-0.885,-7.968,sep_top_9_0001,pT4_score.sc,pT4,0.946697709
10,SCORE:       0.000,-0.343,-49.975,-2.783,-49.975,-2.783,1093.604,1795.816,702.212,20,0.174,10,511,85,0,-1.175,0.706,-1.115,-84.771,-1.675,-15.079,top_1_0001,pT4_score.sc,pT4,0.946697709
11,SCORE:       0.000,-0.267,-35.57,-1.981,-35.57,-1.981,1034.172,1795.624,761.453,24,0.158,8,511,85,0,-0.937,0.706,-0.951,-72.275,-0.819,-7.374,top_10_0001,pT4_score.sc,pT4,0.946697709
12,SCORE:       0.000,-0.317,-33.962,-1.888,-33.962,-1.888,1037.537,1798.463,760.926,17,0.1,5,511,82,0,-1.096,0.688,-1.135,-82.846,-0.78,-7.024,top_2_0001,pT4_score.sc,pT4,0.946697709
13,SCORE:       0.000,-0.317,-39.475,-2.16,-39.475,-2.16,1043.523,1827.186,783.663,17,0.202,7,511,81,0,-0.952,0.656,-0.933,-67.182,-1.1,-9.898,top_3_0001,pT4_score.sc,pT4,0.946697709
14,SCORE:       0.000,-0.295,-36.049,-1.973,-36.049,-1.973,1050.239,1827.188,776.949,24,0.14,6,511,86,0,-0.936,0.709,-0.943,-72.64,-0.87,-7.828,top_4_0001,pT4_score.sc,pT4,0.946697709
15,SCORE:       0.000,-0.293,-40.476,-2.134,-40.476,-2.134,1070.662,1896.817,826.156,25,0.167,9,511,84,0,-1.112,0.667,-1.108,-83.076,-1.147,-10.327,top_5_0001,pT4_score.sc,pT4,0.946697709
16,SCORE:       0.000,-0.287,-29.962,-1.653,-29.962,-1.653,1092.558,1812.654,720.096,20,0.27,7,511,82,0,-0.895,0.756,-1.043,-76.14,0.301,2.709,top_6_0001,pT4_score.sc,pT4,0.946697709
17,SCORE:       0.000,-0.267,-48.84,-2.822,-48.84,-2.822,1092.344,1730.679,638.335,17,0.194,9,511,89,0,-0.919,0.727,-0.885,-70.821,-1.215,-10.937,top_7_0001,pT4_score.sc,pT4,0.946697709
18,SCORE:       0.000,-0.286,-43.95,-2.324,-43.95,-2.324,1076.585,1890.868,814.283,16,0.176,10,511,87,0,-0.939,0.743,-0.927,-72.336,-1.043,-9.391,top_8_0001,pT4_score.sc,pT4,0.946697709
19,SCORE:       0.000,-0.275,-36.182,-1.997,-36.182,-1.997,1022.347,1811.396,789.049,21,0.152,8,511,83,0,-0.984,0.636,-0.994,-73.532,-0.902,-8.115,top_9_0001,pT4_score.sc,pT4,0.946697709
0,SCORE:       0.000,-0.336,-41.924,-1.984,-41.924,-1.984,1147.25,2113.046,965.796,16,0.235,9,511,78,0,-0.971,0.661,-1.106,-76.334,0.067,0.6,sep_top_1_0001,pRLD_score.sc,pRLD,0.35583008
1,SCORE:       0.000,-0.284,-49.173,-2.328,-49.173,-2.328,1164.472,2112.316,947.843,10,0.209,11,511,79,0,-0.847,0.731,-1.019,-71.336,0.49,4.413,sep_top_10_0001,pRLD_score.sc,pRLD,0.35583008
2,SCORE:       0.000,-0.328,-47.375,-2.273,-47.375,-2.273,1158.791,2084.115,925.324,11,0.223,10,511,80,0,-0.876,0.684,-1.046,-74.263,0.461,4.15,sep_top_2_0001,pRLD_score.sc,pRLD,0.35583008
3,SCORE:       0.000,-0.316,-39.314,-1.897,-39.314,-1.897,1196.428,2072.1,875.671,23,0.082,7,511,82,0,-0.941,0.713,-1.165,-85.029,0.877,7.895,sep_top_3_0001,pRLD_score.sc,pRLD,0.35583008
4,SCORE:       0.000,-0.319,-40.006,-1.883,-40.006,-1.883,1200.974,2124.1,923.127,21,0.102,7,511,80,0,-0.98,0.662,-1.191,-84.545,0.687,6.18,sep_top_4_0001,pRLD_score.sc,pRLD,0.35583008
5,SCORE:       0.000,-0.296,-42.732,-2.068,-42.732,-2.068,1103.867,2066.814,962.947,9,0.248,11,511,80,0,-0.803,0.741,-0.952,-67.624,0.378,3.404,sep_top_5_0001,pRLD_score.sc,pRLD,0.35583008
6,SCORE:       0.000,-0.283,-43.779,-2.026,-43.779,-2.026,1225.77,2161.092,935.322,16,0.186,9,511,80,0,-0.751,0.658,-0.869,-61.705,0.18,1.617,sep_top_6_0001,pRLD_score.sc,pRLD,0.35583008
7,SCORE:       0.000,-0.313,-49.74,-2.401,-49.74,-2.401,1088.089,2071.792,983.703,8,0.22,10,511,85,0,-0.973,0.717,-1.018,-77.334,-0.597,-5.374,sep_top_7_0001,pRLD_score.sc,pRLD,0.35583008
8,SCORE:       0.000,-0.316,-47.688,-2.219,-47.688,-2.219,1161.677,2149.497,987.82,13,0.212,11,511,77,0,-1.004,0.633,-1.13,-76.847,-0.049,-0.441,sep_top_8_0001,pRLD_score.sc,pRLD,0.35583008
9,SCORE:       0.000,-0.281,-41.193,-1.962,-41.193,-1.962,1158.914,2099.7,940.785,20,0.286,12,511,83,0,-0.703,0.677,-0.917,-67.887,1.058,9.523,sep_top_9_0001,pRLD_score.sc,pRLD,0.35583008
